Brand,Model,Case Material,Strap Material,Movement Type,Dial Color,Crystal Material,Complications,Price (USD),Price Category,Water Resistance (m)
Rolex,Submariner,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,9500,Expensive,300
Omega,Seamaster,TITANIUM,Rubber,Automatic,Blue,Sapphire,Date,5800,Middle,600
TAG Heuer,Carrera,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Chronograph,4200,Cheap,100
Breitling,Navitimer,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Chronograph,7900,Middle,30
Jaeger-LeCoultre,Reverso,STAINLESS STEEL,Leather,Manual,Black,Sapphire,,5500,Middle,30
Seiko,Prospex,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,1400,Cheap,200
Citizen,Promaster,STAINLESS STEEL,Stainless Steel,Eco-Drive,Black,Mineral,Chronograph,1200,Cheap,200
Tissot,Le Locle,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Date,650,Cheap,30
Hamilton,Khaki Field,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,,495,Cheap,100
Longines,Master Collection,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,1150,Cheap,30
Oris,Big Crown ProPilot,STAINLESS STEEL,Textile,Automatic,Black,Sapphire,"Date, GMT",1800,Cheap,100
Bell & Ross,Aviation,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Chronograph,4500,Cheap,100
Sinn,104,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,1400,Cheap,200
Breguet,Classique,18K WHITE GOLD,Leather,Manual,Silver,Sapphire,,16000,Expensive,30
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,22000,Expensive,50
Vacheron Constantin,Overseas,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,19000,Expensive,150
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,"Chronograph, Tachymeter",4500,Cheap,50
Breitling,Superocean,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,3200,Cheap,500
Panerai,Luminor Base Logo,STAINLESS STEEL,Leather,Manual,Black,Sapphire,,3900,Cheap,100
Tudor,Black Bay,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,,3500,Cheap,200
Rolex,GMT-Master II,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,GMT,14000,Expensive,100
IWC,Pilot's Watch,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,4800,Cheap,60
Jaeger-LeCoultre,Master Ultra Thin,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,7500,Middle,50
Bell & Ross,BR 03-92,CERAMIC,Rubber,Automatic,Black,Sapphire,,0,Cheap,100
Montblanc,1858 Geosphere,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,"World Time, GMT",6200,Middle,100
Cartier,Santos-Dumont,STAINLESS STEEL,Leather,Quartz,Silver,Sapphire,,3500,Cheap,30
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,21000,Expensive,50
Omega,Speedmaster Moonwatch,STAINLESS STEEL,Stainless Steel,Manual,Black,Hesalite,"Chronograph, Tachymeter",5250,Cheap,50
IWC,Portugieser,STAINLESS STEEL,Alligator,Automatic,Silver,Sapphire,Date,8800,Expensive,30
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,17800,Expensive,50
Blancpain,Fifty Fathoms,STAINLESS STEEL,Canvas,Automatic,Black,Sapphire,Date,11500,Expensive,300
Zenith,El Primero,STAINLESS STEEL,Alligator,Automatic,Silver,Sapphire,Chronograph,6500,Middle,100
Breguet,Classique,18K ROSE GOLD,Leather,Automatic,Silver,Sapphire,,23500,Expensive,30
