Brand,Model,Case Material,Strap Material,Movement Type,Dial Color,Crystal Material,Complications,Price (USD),Price Category,Water Resistance (m)
Rolex,Submariner,0,0,0,0,0,Date,9500,2,300
Omega,Seamaster,1,1,0,1,0,Date,5800,1,600
TAG Heuer,Carrera,0,2,0,2,0,Chronograph,4200,0,100
Breitling,Navitimer,0,0,0,0,0,Chronograph,7900,1,30
Jaeger-LeCoultre,Reverso,0,2,1,0,0,,5500,1,30
Seiko,Prospex,0,1,0,0,0,Date,1400,0,200
Citizen,Promaster,0,0,2,0,1,Chronograph,1200,0,200
Tissot,Le Locle,0,2,0,2,0,Date,650,0,30
Hamilton,Khaki Field,0,2,0,0,0,,495,0,100
Longines,Master Collection,0,2,0,3,0,Date,1150,0,30
Oris,Big Crown ProPilot,0,3,0,0,0,"Date, GMT",1800,0,100
Bell & Ross,Aviation,0,1,0,0,0,Chronograph,4500,0,100
Sinn,104,0,2,0,0,0,Date,1400,0,200
Breguet,Classique,2,2,1,3,0,,16000,2,30
Audemars Piguet,Royal Oak,0,0,0,3,0,Date,22000,2,50
Vacheron Constantin,Overseas,0,1,0,1,0,Date,19000,2,150
Omega,Speedmaster,0,0,0,0,0,"Chronograph, Tachymeter",4500,0,50
Breitling,Superocean,0,1,0,1,0,Date,3200,0,500
Panerai,Luminor Base Logo,0,2,1,0,0,,3900,0,100
Tudor,Black Bay,0,2,0,0,0,,3500,0,200
Rolex,GMT-Master II,0,0,0,0,0,GMT,14000,2,100
IWC,Pilot's Watch,0,2,0,0,0,Date,4800,0,60
Jaeger-LeCoultre,Master Ultra Thin,0,2,0,3,0,,7500,1,50
Bell & Ross,BR 03-92,3,1,0,0,0,,0,0,100
Montblanc,1858 Geosphere,0,2,0,0,0,"World Time, GMT",6200,1,100
Cartier,Santos-Dumont,0,2,3,3,0,,3500,0,30
Audemars Piguet,Royal Oak,0,0,0,0,0,Date,21000,2,50
Omega,Speedmaster Moonwatch,0,0,1,0,2,"Chronograph, Tachymeter",5250,0,50
IWC,Portugieser,0,4,0,3,0,Date,8800,2,30
Audemars Piguet,Royal Oak,0,0,0,0,0,Date,17800,2,50
Blancpain,Fifty Fathoms,0,5,0,0,0,Date,11500,2,300
Zenith,El Primero,0,4,0,3,0,Chronograph,6500,1,100
Breguet,Classique,4,2,0,3,0,,23500,2,30
Piaget,Polo S,0,0,0,1,0,Date,10000,2,100
Ulysse Nardin,Marine,0,1,0,1,0,Date,9500,2,100
Vacheron Constantin,Overseas,0,0,0,3,0,Date,21500,2,150
Jaquet Droz,Grande Seconde,0,2,0,0,0,,9800,2,30
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,19900,2,50
Blancpain,Fifty Fathoms,0,5,0,0,0,Date,14400,2,300
Breguet,Type XXI,0,2,0,3,0,Chronograph,9500,2,100
Bulgari,Octo Finissimo,1,2,0,0,0,,12800,2,100
Chopard,Mille Miglia,0,2,0,0,0,Chronograph,6500,1,50
Girard-Perregaux,Laureato,0,0,0,1,0,,7800,1,100
Glashütte Original,Senator,0,2,0,3,0,,9200,2,50
Hublot,Classic Fusion,1,1,0,0,0,,6500,1,50
IWC,Portugieser,0,2,0,3,0,,8400,2,30
Jaquet Droz,Grande Seconde,0,2,0,3,0,,6200,1,30
Longines,Master Collection,0,2,0,1,0,Date,1600,0,30
Patek Philippe,Nautilus,0,0,0,1,0,Date,29800,2,120
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,24500,2,50
IWC,Portugieser,0,2,0,3,0,,7950,1,30
Hublot,Classic Fusion,1,1,0,0,0,,8200,2,50
Zenith,Chronomaster,0,2,0,3,0,Chronograph,9400,2,100
Girard-Perregaux,Laureato,0,0,0,1,0,,6700,1,100
Chopard,Mille Miglia,0,2,0,0,0,Chronograph,6100,1,50
Vacheron Constantin,Overseas,0,0,0,1,0,Date,16300,2,150
Montblanc,1858,0,2,0,0,0,,3600,0,100
Ulysse Nardin,Marine,0,1,0,0,0,Date,9500,2,300
Rolex,Datejust,0,0,0,3,0,Date,8900,2,100
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,17000,2,50
Tudor,Black Bay,0,6,0,0,0,,4500,0,200
IWC,Portugieser,0,2,0,3,0,"Chronograph, Date",8300,2,30
Panerai,Luminor Marina,0,2,0,0,0,"Date, Second Time Zone",8900,2,300
Blancpain,Fifty Fathoms,0,6,0,0,0,"Date, Unidirectional Bezel",12000,2,300
Hublot,Classic Fusion,1,1,0,1,0,Date,7500,1,50
Zenith,Chronomaster,0,2,0,3,0,"Chronograph, Date",6900,1,50
Vacheron Constantin,Overseas,0,0,0,1,0,"Date, Second Time Zone",15500,2,50
Girard-Perregaux,Laureato,0,0,0,0,0,,11200,2,100
Audemars Piguet,Royal Oak,0,0,0,1,0,"Date, Power Reserve Indicator",18900,2,50
IWC,Pilot's Watch,0,2,0,0,0,"Date, Chronograph",5500,1,60
Panerai,Luminor,1,1,0,0,0,Date,9600,2,300
Breguet,Type XX,0,2,0,0,0,"Date, Chronograph, Flyback",8800,2,100
Blancpain,Fifty Fathoms,0,1,0,0,0,Date,14700,2,300
Girard-Perregaux,Laureato,0,0,0,1,0,Date,10600,2,100
Vacheron Constantin,Overseas,0,0,0,0,0,Date,19200,2,150
Zenith,El Primero,0,2,0,3,0,Chronograph,7500,1,100
Chopard,Mille Miglia,0,2,0,0,0,Chronograph,5600,1,50
Longines,HydroConquest,0,0,0,1,0,Date,1400,0,300
Tudor,Black Bay,0,2,0,0,0,Date,3500,0,200
Seiko,Prospex,0,7,0,1,3,,650,0,200
Hamilton,Khaki Field Auto,0,2,0,0,0,,545,0,100
Omega,Speedmaster,0,0,1,0,2,"Chronograph, Tachymeter",5500,1,50
Breitling,Superocean Heritage,0,1,0,0,0,Date,4800,0,200
Jaeger-LeCoultre,Master Control,0,2,0,3,0,Date,6500,1,50
Cartier,Santos,0,0,0,3,0,Date,7500,1,100
